"start";"deviceid";"Entrevistador";"Região";"Olá! Estamos fazendo uma pesquisa para a USP e a Unifesp e gostaria de saber se você pode responder a algumas questões. São apenas alguns minutos e você não precisa se identificar";"Qual é a sua idade:";"Para começar, gostaria de saber, entre os partidos políticos brasileiros, com qual você se identifica?";"Em termos políticos, você se considera de esquerda, de direita, de centro ou nada disso?";"Mas entre esquerda e direita, você é mais de esquerda ou mais de direita?";"No que diz respeito a temas como família, drogas e punição a criminosos, você se considera conservador?";"Você se considera antipetista?";"Agora, vou ler uma série de afirmações e gostaria de saber se você concorda ou não concorda com elas:";"Os direitos humanos atrapalham o combate ao crime";"Os valores religiosos deveriam orientar as leis";"Deveria ser permitido aos adultos fumar maconha";"A polícia é mais violenta com os negros do que com os brancos";"Fazer aborto deve ser um direito da mulher";"A união de pessoas do mesmo sexo não constitui uma família";"A escola deveria ensinar a respeitar os gays";"Cotas são uma boa medida para fazer com que os negros entrem na universidade";"Menores de idade que cometem crimes devem ir para a cadeia";"O bolsa-família estimula as pessoas a não trabalhar";"Cantar uma mulher na rua é ofensivo";"Feminismo é machismo ao contrário";"Dois homens devem poder se beijar na rua sem serem importunados";"Não se deve condenar uma mulher que transe com muitas pessoas";"O lugar da mulher é em casa cuidando da família";"Precisamos punir os criminosos com mais tempo de cadeia";"A pena de morte deve ser aplicada para punir crimes graves";"Os conservadores são preconceituosos";"A mulher deve ter o direito de usar roupa curta sem ser incomodada";"As escolas deveriam ensinar valores religiosos";"O cidadão de bem deve ter o direito de portar arma";"Os negros ainda sofrem preconceito no Brasil";"Fazer aborto é sempre errado";"Travestis devem poder usar o banheiro feminino";"Vou perguntar agora sobre o grau de confiança em uma série de políticos:";"Você confia no Geraldo Alckmin?";"Você confia no Jair Bolsonaro?";"Você confia no Marcelo Crivela?";"Você confia no Marco Feliciano?";"Você confia no Lula?";"Você confia na Marina Silva?";"Estamos chegando no fim. Vou ler duas afirmações e gostaria de saber se você concorda com elas:";"Num momento de crise, o governo precisa cortar gastos inclusive em saúde e educação.";"Quem começou a trabalhar cedo deve poder se aposentar cedo, sem limite mínimo de idade.";"Para terminar, gostaria de saber um pouco mais de você";"Sexo:";"Somando a sua renda com a renda das pessoas que moram com você, quanto aproximadamente é a renda familiar na sua casa?";"Até que ano você estudou?";"Como você classifica a sua cor?";"outra:";"Qual é a sua denominação religiosa?";"outra:";"_id";"_uuid";"_submission_time";"_index"
"2017-06-15T14:28:59.240-03";"ac:d0:74:8c:b4:ec";"Igor";"1";"";"45";"nenhum";"centro";"mais de direita";"muito conservador";"nada antipetista";"";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"";"não confia";"não confia";"confia muito";"confia pouco";"não confia";"confia muito";"";"não concorda";"concorda";"";"masculino";"de R$1.880,00 até R$2.810,00";"ensino superior completo";"preta";"";"igreja renascer em Cristo";"";"4192096";"e315b35b-b7bd-4d4c-904b-a55e2141892c";"2017-06-15T19:38:41";"1"
"2017-06-15T14:19:29.655-03";"ac:d0:74:8c:b4:ec";"Igor";"1";"";"18";"nenhum";"de direita";"";"pouco conservador";"nada antipetista";"";"concorda";"não concorda";"não concorda";"não sei";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não sei";"";"não confia";"confia muito";"não confia";"não confia";"não confia";"não conhece";"";"não concorda";"não concorda";"";"masculino";"até R$1.880,00";"ensino médio incompleto";"branca";"";"igreja renascer em Cristo";"";"4192095";"d04fef3b-f851-491e-a6b3-3919859a8d3e";"2017-06-15T19:38:40";"2"
"2017-06-15T14:11:27.667-03";"ac:d0:74:8c:b4:ec";"Igor";"1";"";"51";"nenhum";"nada disso";"";"muito conservador";"muito antipetista";"";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"";"não confia";"não confia";"confia muito";"confia pouco";"confia pouco";"confia pouco";"";"não concorda";"concorda";"";"feminino";"de R$4.690,00 até R$9.370,00";"ensino superior completo";"branca";"";"igreja renascer em Cristo";"";"4192094";"2360df57-77ba-4223-b41c-46727c763172";"2017-06-15T19:38:37";"3"
"2017-06-15T14:00:31.426-03";"ac:d0:74:8c:b4:ec";"Igor";"1";"";"30";"nenhum";"nada disso";"";"muito conservador";"nada antipetista";"";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"";"não confia";"não confia";"";"não confia";"não confia";"não confia";"";"não concorda";"concorda";"";"masculino";"de R$1.880,00 até R$2.810,00";"ensino superior incompleto";"preta";"";"outra";"Catolico";"4192093";"edb387a4-39b5-411c-b6f1-7fc9e7fd5807";"2017-06-15T19:38:36";"4"
"2017-06-15T13:48:52.238-03";"ac:d0:74:8c:b4:ec";"Igor";"1";"";"39";"nenhum";"nada disso";"";"muito conservador";"muito antipetista";"";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"";"não confia";"não confia";"não confia";"não confia";"não confia";"não confia";"";"não concorda";"concorda";"";"feminino";"de R$1.880,00 até R$2.810,00";"ensino médio completo";"branca";"";"outra";"Congregação cristã";"4192091";"686c82f0-ec97-420b-9036-0fea4449afb1";"2017-06-15T19:38:34";"5"
"2017-06-15T13:40:21.847-03";"ac:d0:74:8c:b4:ec";"Igor";"1";"";"47";"nenhum";"nada disso";"";"pouco conservador";"nada antipetista";"";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"";"não confia";"não confia";"não confia";"não confia";"não confia";"não confia";"";"não concorda";"concorda";"";"masculino";"de R$2.810,00 até R$4.690,00";"ensino superior incompleto";"branca";"";"igreja renascer em Cristo";"";"4192090";"a0c8efe8-d5d3-4275-886d-8936872f2437";"2017-06-15T19:38:32";"6"
"2017-06-15T13:29:36.177-03";"ac:d0:74:8c:b4:ec";"Igor";"1";"";"20";"PSC";"de direita";"";"muito conservador";"muito antipetista";"";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"";"não confia";"confia muito";"não confia";"confia muito";"não confia";"não confia";"";"concorda";"concorda";"";"masculino";"até R$1.880,00";"ensino médio completo";"branca";"";"igreja renascer em Cristo";"";"4192089";"55df118a-0e22-4306-9a77-241ecc854c34";"2017-06-15T19:38:30";"7"
"2017-06-15T13:22:34.391-03";"ac:d0:74:8c:b4:ec";"Igor";"1";"";"19";"não sei";"nada disso";"";"muito conservador";"não sei";"";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não sei";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"";"não confia";"não confia";"não conhece";"não confia";"não confia";"não confia";"";"não concorda";"concorda";"";"feminino";"de R$2.810,00 até R$4.690,00";"ensino médio completo";"preta";"";"igreja renascer em Cristo";"";"4192088";"74a056b5-dc6a-424d-bad5-be90e7252803";"2017-06-15T19:38:27";"8"
"2017-06-15T13:05:49.535-03";"ac:d0:74:8c:b4:ec";"Igor";"1";"";"31";"nenhum";"nada disso";"";"pouco conservador";"muito antipetista";"";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"";"não confia";"não confia";"não confia";"não confia";"não confia";"confia pouco";"";"não concorda";"concorda";"";"feminino";"de R$1.880,00 até R$2.810,00";"ensino superior incompleto";"branca";"";"igreja renascer em Cristo";"";"4192087";"63a3876b-2135-47a7-b9b3-cf503a85333c";"2017-06-15T19:38:26";"9"
"2017-06-15T12:59:30.996-03";"ac:d0:74:8c:b4:ec";"Igor";"1";"";"23";"outro";"de esquerda";"";"nada conservador";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não sei";"";"não confia";"não confia";"não confia";"não confia";"confia pouco";"não confia";"";"não concorda";"não concorda";"";"masculino";"de R$2.810,00 até R$4.690,00";"ensino superior completo";"parda";"";"igreja renascer em Cristo";"";"4192085";"557196eb-8a80-4b34-9adf-2416f2c3d845";"2017-06-15T19:38:22";"10"
