"meta:instanceID","StartTime","Device","previos:entrevistador","previos:regiao","idade:idade","social:sexo","social:renda","social:escolaridade","social:cor","social:religiao","frases:frases1","frases:frases2","frases:frases3","frases:frases4","frases:frases5","frases:frases6","frases:frases7","frases:frases8","frases:frases9","frases:frases10","frases:frases11","frases:frases12","frases:frases13","frases:frases14","frases:frases15","frases:frases16","frases:frases17","frases:frases18","frases:frases19","frases:frases20","frases:frases21","informacoes:informacao1","informacoes:informacao2","informacoes:informacao3","informacoes:informacao4","informacoes:manifestacao1","informacoes:manifestacao2","informacoes:manifestacao3","informacoes:manifestacao4","informacoes:esquerda1","informacoes:esquerda2","informacoes:conservador"
"uuid:840857dc-a8bb-4adc-bdd8-a57052e216c9","Tue Oct 11 22:53:31 UTC 2016","ac:d0:74:8d:47:d3","Teste","leste 1","21","Feminino","de R$ 8.800 a R$ 17.600","superior incompleto","outra","nenhuma","não concorda","concorda","não concorda","concorda","concorda","concorda","concorda","concorda","concorda","não concorda","concorda","não concorda","não concorda","não concorda","não concorda","concorda","não sei","não concorda","não sei","não sei","não concorda","muito","pouco","muito","pouco","não","não","não","sim","não sei",,"nada conservador(a)"
"uuid:804a2aed-774b-4820-8e89-9c32d7337f0f","Tue Oct 11 23:00:42 UTC 2016","ac:d0:74:df:5b:68","Teste","leste 1","24","Feminino","de R$ 4.400 a R$ 8.800","superior completo","parda","nenhuma","não concorda","concorda","não concorda","concorda","concorda","concorda","concorda","concorda","concorda","não concorda","não sei","não concorda","não concorda","não concorda","não concorda","concorda","concorda","não concorda","não concorda","não concorda","não concorda","muito","muito","muito","muito","sim","não","sim","sim","de esquerda",,"nada conservador(a)"
"uuid:8c9d60da-050c-4cc1-8f53-cc563aa868f3","Tue Oct 11 23:28:17 UTC 2016","ac:d0:74:c9:d7:95","Teste","leste 2","32","Masculino","de R$ 8.800 a R$ 17.600","superior completo","branca","nenhuma","não concorda","concorda","não concorda","concorda","concorda","concorda","concorda","não concorda","concorda","não concorda","concorda","não concorda","não concorda","não concorda","não concorda","concorda","concorda","não concorda","não concorda","não concorda","não concorda","muito","pouco","muito","muito","sim","não","sim","sim","de esquerda",,"nada conservador(a)"
"uuid:021e4d9f-b630-4893-a10f-0e01b8fb215f","Thu Oct 13 23:37:29 UTC 2016","66c5a0902c69121d","Teste","centro","21","Masculino","de R$ 8.800 a R$ 17.600","superior incompleto","branca","católica","não concorda","concorda","não concorda","concorda","concorda","concorda","concorda","concorda","concorda","não concorda","concorda","não concorda","não concorda","não concorda","não concorda","concorda","concorda","não concorda","não concorda","não sei","não concorda","muito","muito","muito","pouco","sim","não","sim","sim","de esquerda",,"um pouco conservador(a)"
"uuid:778595a0-0a52-4715-b74f-5a7c54ae21bb","Thu Oct 13 20:36:54 UTC 2016","ac:d0:74:df:5b:68","Teste","centro","25",,,,,"católica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"uuid:32d5bc0d-8a92-46a9-9eba-117769894f21","Sat Oct 15 15:35:02 UTC 2016","ac:d0:74:78:6e:22","Marcelo","norte 2","21","Feminino",,,"parda",,"concorda","concorda","concorda","concorda","concorda","concorda",,,"concorda",,"concorda","concorda","concorda",,,"concorda","concorda","concorda","concorda",,,"pouco","nada","pouco","nada","não","não","não","não",,,
"uuid:8a09d05b-5edd-4569-b66b-25de377d53c5","Sat Oct 15 15:41:19 UTC 2016","ac:d0:74:78:6e:22","Marcelo","norte 2","40","Masculino",,,"parda",,"concorda","concorda","concorda","concorda","concorda","concorda","concorda","concorda","concorda","concorda","concorda","concorda","concorda","concorda","concorda","concorda","concorda","concorda","concorda","concorda","concorda","nada","nada","pouco","nada","não","não","não","não",,,
"uuid:69457bd6-41c1-4764-938e-5dbf711276e1","Sat Oct 15 15:47:14 UTC 2016","ac:d0:74:78:6e:22","Marcelo","norte 2","75","Masculino",,,"branca",,"concorda","concorda","concorda","concorda","concorda","concorda","concorda",,"concorda",,"concorda","concorda","concorda",,,"concorda","concorda","concorda","concorda","concorda","concorda","nada","nada","nada","nada","não","não","não","não",,,
"uuid:ce58f468-6543-4ad0-ad05-a613526c61a4","Sat Oct 15 15:53:55 UTC 2016","ac:d0:74:78:6e:22","Marcelo","norte 2","62","Feminino",,,"parda",,"concorda","concorda","concorda","concorda","concorda",,"concorda",,"concorda",,"concorda","concorda","concorda",,"concorda","concorda","concorda","concorda","concorda","concorda",,"nada","nada","pouco","nada","não","não","não","não",,,
"uuid:df1d0ec1-bb7a-4515-b6e2-95e0a0a60582","Sat Oct 15 16:00:42 UTC 2016","ac:d0:74:78:6e:22","Marcelo","norte 2","19","Masculino","de R$ 1.760 a R$ 2.640","superior incompleto","parda","evangélica pentecostal","não concorda","concorda","não concorda","concorda","concorda","concorda","concorda","não concorda","concorda","não sei","concorda","concorda","não concorda","não sei","não concorda","concorda","concorda","não concorda","concorda","não concorda","não concorda","muito","muito","muito","nada","não","não","não","não","nada disso",,"nada conservador(a)"
"uuid:0b624aab-1e42-48c4-838d-793bc93d2f8f","Sat Oct 15 16:17:18 UTC 2016","ac:d0:74:78:6e:22","Marcelo","norte 2","35","Masculino","até R$ 1.760","médio incompleto","parda","outra","não concorda","concorda","concorda","concorda","concorda","concorda","não concorda","concorda","não concorda","concorda","concorda","concorda","concorda","concorda","concorda","concorda","concorda","concorda","concorda","concorda","concorda","nada","nada","nada","nada","não","não","não","não","nada disso",,"um pouco conservador(a)"
"uuid:d5c9d31a-fbb7-45d9-9e99-72140b2aa887","Sat Oct 15 16:25:44 UTC 2016","ac:d0:74:78:6e:22","Marcelo","norte 2","19","Masculino",,,"branca","católica","concorda",,"concorda","concorda","concorda","concorda",,"concorda","concorda",,"concorda","concorda","concorda",,"concorda","concorda","concorda","concorda","concorda",,,"nada","nada","nada","nada","não","não","não","não",,,
