Entrevistador,Horário,Região,Idade,Sexo,Renda,Escolaridade,Cor,especificar,Imprensa,Folha,Estado,Veja,Carta.Capital,J.Nacional,J.Record,Globo.News,El.País,BBC,Partidos,PT,PSDB,PMDB,Rede,PSOL,ONGs,Mov.sociais,Vem.pra.rua,Brasil.Livre,MPL,MST,Revoltados,MTST,Políticos,Aécio.Neves,Dilma.Rousseff,Eduardo.Cunha,Fernando.Haddad,Geraldo.Alckmin,Jair.Bolsonaro,Jean.Wyllys,José.Serra,Luciana.Genro,Lula,Marina.Silva,Pastor.Feliciano,Liderança.política,Internet,Twitter,perfil,Whatsapp,Facebook,página,Sites,qual.site,Blogs,qual.blog,Demétrio.Magnoli,Guilherme.Boulos,Gregório.Duvivier,Jânio.de.Freitas,José.Luiz.Datena,Luis.Nassif,Olavo.de.Carvalho,Paulo.Henrique.Amorim,Raquel.Sherazade,Reinaldo.Azevedo,William.Bonner,Vladimir.Safatle,qual.comentarista,regime.comunista,friboi,petrobras,bolivariana,racismo,pcc,bolsa.familia,haitianos
Hércules,03:00:00 PM,Zona 3,65,Masculino,acima de R$ 15.760,médio completo,branca,,confia pouco,não confia,confia pouco,confia muito,não confia,não confia,confia pouco,confia pouco,não conhece,não conhece,não confia,não confia,confia pouco,não confia,não conhece,não conhece,confia pouco,confia pouco,confia muito,confia pouco,não confia,não confia,não conhece,não confia,não confia,confia pouco,não confia,não confia,não confia,não confia,confia muito,não confia,não confia,não confia,não confia,não confia,não confia,Jair Bolsonaro,sim,pouco,,pouco,nada,,muito,Yahoo,nada,,não conhece,não conhece,não conhece,não conhece,não confia,não confia,não conhece,não confia,confia muito,não conhece,não confia,não conhece,Arnaldo Jabour,concorda,não sei,concorda,concorda,concorda,não sei,concorda,concorda
Hércules,04:03:00 PM,Zona 3,52,Feminino,de R$ 7.880 a R$ 15.760,médio completo,branca,,não confia,não confia,não confia,não confia,não conhece,não confia,confia pouco,não confia,não conhece,não conhece,não confia,não confia,confia pouco,não confia,não conhece,não confia,não confia,confia pouco,confia muito,confia pouco,não conhece,não confia,confia pouco,não confia,confia pouco,confia pouco,não confia,não conhece,não confia,confia pouco,confia pouco,não confia,confia pouco,confia pouco,não confia,não confia,não confia,,sim,nada,,pouco,muito,Revoltados Online,pouco,BBC,nada,,não conhece,não conhece,não conhece,não conhece,confia pouco,não conhece,não conhece,não confia,confia pouco,não conhece,confia pouco,não conhece,,concorda,concorda,concorda,não sei,concorda,concorda,concorda,concorda
Hércules,04:16:00 PM,Zona 3,55,Feminino,de R$ 7.880 a R$ 15.760,superior completo,branca,,confia pouco,confia pouco,confia pouco,confia muito,não confia,confia pouco,confia pouco,confia pouco,não conhece,confia pouco,confia pouco,não confia,confia pouco,não confia,não confia,não confia,confia pouco,confia pouco,confia muito,confia pouco,confia pouco,não confia,confia pouco,não confia,confia pouco,confia pouco,não confia,não confia,não confia,confia pouco,não confia,não confia,confia pouco,não confia,não confia,confia pouco,não confia,,sim,nada,,muito,muito,Apenas por páginas de amigos,muito,Terra,pouco,,não conhece,confia pouco,não conhece,não conhece,não confia,confia pouco,não conhece,confia pouco,confia muito,confia muito,confia pouco,confia pouco,Reinaldo Azevedo,concorda,concorda,concorda,concorda,não concorda,não sei,concorda,concorda
Hércules,04:26:00 PM,Zona 3,28,Masculino,acima de R$ 15.760,superior completo,branca,,confia pouco,confia pouco,não confia,confia pouco,não confia,confia pouco,confia pouco,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia pouco,confia muito,confia pouco,confia pouco,não confia,não conhece,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,,sim,nada,,muito,,Apenas por páginas de amigos,muito,Rádio Jovem Pam,pouco,Reinaldo Azevedo,não conhece,não confia,não conhece,confia pouco,confia pouco,não conhece,confia pouco,não confia,confia muito,confia muito,confia pouco,não conhece,Reinaldo Azevedo,concorda,concorda,concorda,não sei,concorda,não sei,não concorda,concorda
Hércules,04:35:00 PM,Zona 3,55,Masculino,de R$ 3.940 a R$ 7.880,superior completo,parda,,confia pouco,confia pouco,confia pouco,confia muito,não conhece,confia pouco,confia pouco,confia pouco,não conhece,não conhece,não confia,não confia,não confia,não confia,confia pouco,não confia,confia pouco,confia pouco,confia muito,confia pouco,confia pouco,não confia,não confia,não confia,não confia,confia pouco,não confia,confia pouco,não confia,confia muito,confia muito,não confia,não confia,confia muito,não confia,confia pouco,confia pouco,Aécio Neves,sim,nada,,muito,muito,Apenas por páginas de amigos,muito,Veja,nada,,não conhece,não confia,não conhece,não conhece,confia pouco,confia pouco,não conhece,confia muito,confia muito,não conhece,confia muito,não conhece,,não concorda,concorda,concorda,não concorda,concorda,concorda,concorda,não sei
Hércules,04:50:00 PM,Zona 3,32,Feminino,de R$ 3.940 a R$ 7.880,superior completo,branca,,confia pouco,confia pouco,confia pouco,confia muito,não confia,confia pouco,confia pouco,confia pouco,confia pouco,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia pouco,confia pouco,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,não confia,Kataguiri,sim,muito,Deputados,muito,muito,Página do Congresso,muito,Globo News,nada,,não conhece,não confia,não confia,não conhece,confia pouco,não conhece,não conhece,não conhece,confia pouco,confia muito,confia pouco,não conhece,Reinaldo Azevedo,concorda,não sei,concorda,concorda,concorda,não sei,não concorda,não concorda
Hércules,05:00:00 PM,Zona 3,22,Masculino,acima de R$ 15.760,superior incompleto,branca,,confia pouco,confia muito,confia muito,não confia,não confia,confia pouco,confia pouco,confia pouco,não conhece,confia muito,não confia,não confia,confia pouco,não confia,confia pouco,não confia,confia muito,confia pouco,confia muito,confia pouco,confia pouco,não confia,não conhece,não confia,não confia,confia pouco,não confia,não confia,não confia,confia muito,não confia,não confia,não confia,não confia,não confia,confia muito,não confia,Marina Silva,sim,nada,,nada,nada,,muito,Folha de SP,nada,,confia pouco,não conhece,não conhece,confia pouco,não confia,não conhece,não conhece,confia pouco,não confia,confia muito,confia muito,confia pouco,Mirian Leitão,não concorda,concorda,não concorda,não concorda,concorda,não sei,não concorda,não concorda
Hércules,05:08:00 PM,Zona 3,52,Feminino,de R$ 7.880 a R$ 15.760,superior completo,branca,,confia pouco,confia muito,confia muito,confia muito,não conhece,confia muito,confia pouco,confia pouco,não conhece,confia pouco,não confia,não confia,não confia,não confia,não conhece,não confia,confia pouco,confia pouco,confia muito,confia pouco,não conhece,não confia,não confia,não confia,confia pouco,confia pouco,não confia,não conhece,não confia,confia muito,confia pouco,não conhece,confia muito,confia pouco,não confia,confia muito,não confia,Alckmin,sim,nada,,muito,muito,Apenas por páginas de amigos,muito,Veja,pouco,,confia pouco,confia pouco,não conhece,não conhece,confia muito,confia pouco,confia pouco,confia muito,confia muito,confia pouco,confia muito,confia pouco,Wiliiam Bonner,concorda,concorda,concorda,concorda,não concorda,não sei,concorda,não sei
Hércules,05:22:00 PM,Zona 3,28,Feminino,acima de R$ 15.760,superior completo,branca,,não confia,confia pouco,não confia,confia pouco,não conhece,confia pouco,não conhece,confia pouco,não confia,não conhece,não confia,não confia,não confia,não confia,não conhece,não confia,não confia,confia pouco,confia muito,não conhece,não conhece,não confia,não conhece,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,,não,,,,,,,,,,não conhece,não conhece,não conhece,não confia,não confia,não conhece,não conhece,não confia,não conhece,não confia,confia pouco,não conhece,,não sei,não sei,concorda,não sei,concorda,não sei,concorda,não sei
Hércules,05:32:00 PM,Zona 3,63,Feminino,acima de R$ 15.760,superior incompleto,branca,,confia muito,confia muito,confia muito,confia muito,não conhece,confia pouco,confia pouco,não conhece,não conhece,confia muito,não confia,não confia,não confia,confia pouco,não conhece,confia pouco,confia pouco,confia pouco,confia muito,não conhece,confia pouco,não confia,confia pouco,não confia,não confia,confia pouco,não confia,confia pouco,não confia,confia muito,confia pouco,não conhece,confia pouco,não confia,não confia,confia pouco,não confia,Alckmin,sim,nada,,muito,muito,Apenas por páginas de amigos,muito,Rádio CBN,nada,,não conhece,não conhece,não conhece,não conhece,confia pouco,confia muito,confia muito,não conhece,confia muito,não conhece,confia pouco,não conhece,Sadenberg,concorda,concorda,concorda,concorda,,concorda,concorda,concorda
Hércules,05:42:00 PM,Zona 3,31,Masculino,de R$ 3.940 a R$ 7.880,superior completo,indígena,,confia pouco,confia pouco,confia pouco,não confia,não confia,confia pouco,confia muito,confia pouco,confia muito,confia pouco,não confia,não confia,não confia,não confia,confia pouco,não confia,não confia,confia pouco,confia muito,confia muito,confia pouco,não confia,não conhece,não confia,confia pouco,não confia,não confia,confia pouco,não confia,confia pouco,confia pouco,não confia,confia pouco,não confia,não confia,confia muito,não conhece,Eduardo Suplicy,sim,pouco,Raquel Sherezade,nada,pouco,Jovem Pam Online,pouco,Record Newa,nada,,não conhece,não confia,não confia,não conhece,confia pouco,não conhece,não conhece,confia muito,confia muito,não conhece,confia muito,não conhece,Raquel Sherezade,concorda,concorda,concorda,concorda,concorda,não sei,concorda,não sei
Hércules,05:54:00 PM,Zona 3,43,Feminino,até R$ 1.576,superior completo,outra,negra,confia pouco,confia pouco,confia pouco,confia muito,não conhece,não confia,não confia,não confia,não confia,não conhece,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia pouco,confia muito,confia muito,confia muito,não confia,confia muito,não confia,não confia,confia pouco,não confia,não conhece,não confia,confia pouco,não conhece,não confia,confia pouco,não confia,não confia,não confia,não confia,,sim,nada,,pouco,muito,Apenas por páginas de amigos,muito,UOL,nada,,não conhece,não conhece,não conhece,não conhece,confia muito,confia pouco,não conhece,confia muito,confia muito,não conhece,não confia,não conhece,Raquel Sherezade,não concorda,concorda,concorda,concorda,concorda,concorda,concorda,concorda
Hércules,06:04:00 PM,Zona 3,39,Masculino,acima de R$ 15.760,superior completo,branca,,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia pouco,confia pouco,não confia,não confia,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,,sim,nada,,pouco,pouco,Apenas por páginas de amigos,muito,Vários sites,muito,Nenhum específico,não conhece,não conhece,não conhece,não confia,não confia,não confia,confia muito,confia pouco,confia pouco,não confia,não confia,não conhece,Olavo de Carvalho,concorda,concorda,concorda,concorda,concorda,concorda,concorda,concorda
Pedro,04:48:00 PM,Zona 3,16,Masculino,acima de R$ 15.760,médio incompleto,branca,,confia pouco,não confia,não confia,confia pouco,não conhece,confia pouco,confia pouco,confia pouco,não conhece,não conhece,confia pouco,não confia,confia muito,não confia,não conhece,confia pouco,não conhece,confia pouco,confia pouco,confia pouco,não conhece,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia muito,confia muito,confia pouco,confia pouco,confia pouco,não confia,confia muito,confia pouco,Jair Bolsonaro,não,,,,,,,,,,não confia,não conhece,não conhece,confia pouco,confia pouco,não conhece,não conhece,confia pouco,confia muito,confia muito,confia muito,não conhece,Raquel Sherezade,não concorda,concorda,concorda,não sei,não concorda,concorda,não concorda,não concorda
Pedro,05:00:00 PM,Zona 3,18,Masculino,de R$ 7.880 a R$ 15.760,superior incompleto,branca,,não confia,confia pouco,confia pouco,não confia,confia pouco,confia muito,não conhece,confia muito,não conhece,confia muito,não confia,não confia,não confia,não confia,não confia,confia pouco,confia pouco,confia muito,confia pouco,não confia,confia muito,não conhece,não conhece,não conhece,não confia,não confia,não confia,não conhece,não confia,não confia,não confia,confia muito,não confia,confia muito,não confia,não confia,não confia,,sim,nada,,pouco,muito,Apenas por páginas de amigos,pouco,,pouco,,não conhece,não conhece,não conhece,não conhece,não confia,não conhece,não conhece,não conhece,não confia,não conhece,confia muito,não conhece,,não concorda,não sei,concorda,não concorda,não concorda,não concorda,não concorda,não concorda
Pedro,05:09:00 PM,Zona 3,38,Masculino,até R$ 1.576,fundamental completo,preta,,confia muito,não confia,confia muito,não confia,não conhece,confia muito,confia muito,confia muito,não conhece,confia muito,não confia,não confia,não confia,não confia,não confia,não confia,confia muito,não conhece,confia muito,confia muito,confia muito,não confia,confia muito,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,não confia,confia muito,confia pouco,,não,,,,,,,,,,não conhece,não conhece,não conhece,não conhece,confia muito,não conhece,não conhece,confia muito,não conhece,não conhece,confia muito,não conhece,Wiliiam Bonner e Datena,não concorda,concorda,concorda,não concorda,concorda,concorda,concorda,concorda
Matheus Fava,04:11:00 PM,Zona 1,39,Masculino,de R$ 2.364 a R$ 3.940,fundamental incompleto,branca,,confia pouco,confia muito,não confia,confia pouco,não conhece,confia pouco,não conhece,confia pouco,não conhece,não conhece,confia pouco,não confia,confia pouco,não confia,não confia,não confia,não confia,confia muito,confia muito,confia muito,confia muito,não confia,confia pouco,não confia,não confia,confia muito,não confia,confia pouco,não confia,confia muito,não confia,não confia,confia muito,não confia,não confia,não confia,não confia,,sim,nada,,muito,muito,Movimento Vem Pra Rua,muito,Veja,nada,,não conhece,não conhece,não conhece,não conhece,não confia,não conhece,não conhece,confia muito,não confia,confia muito,confia pouco,não confia,Reinaldo Azevedo,concorda,não concorda,concorda,concorda,não concorda,concorda,concorda,concorda
