"start";"deviceid";"Entrevistador";"Região";"Olá! Estamos fazendo uma pesquisa para a USP e a Unifesp e gostaria de saber se você pode responder a algumas questões. São apenas alguns minutos e você não precisa se identificar";"Qual é a sua idade:";"Para começar, gostaria de saber, entre os partidos políticos brasileiros, com qual você se identifica?";"Em termos políticos, você se considera de esquerda, de direita, de centro ou nada disso?";"Mas entre esquerda e direita, você é mais de esquerda ou mais de direita?";"No que diz respeito a temas como família, drogas e punição a criminosos, você se considera conservador?";"Você se considera antipetista?";"Agora, vou ler uma série de afirmações e gostaria de saber se você concorda ou não concorda com elas:";"Os direitos humanos atrapalham o combate ao crime";"Os valores religiosos deveriam orientar as leis";"Deveria ser permitido aos adultos fumar maconha";"A polícia é mais violenta com os negros do que com os brancos";"Fazer aborto deve ser um direito da mulher";"A união de pessoas do mesmo sexo não constitui uma família";"A escola deveria ensinar a respeitar os gays";"Cotas são uma boa medida para fazer com que os negros entrem na universidade";"Menores de idade que cometem crimes devem ir para a cadeia";"O bolsa-família estimula as pessoas a não trabalhar";"Cantar uma mulher na rua é ofensivo";"Feminismo é machismo ao contrário";"Dois homens devem poder se beijar na rua sem serem importunados";"Não se deve condenar uma mulher que transe com muitas pessoas";"O lugar da mulher é em casa cuidando da família";"Precisamos punir os criminosos com mais tempo de cadeia";"A pena de morte deve ser aplicada para punir crimes graves";"Os conservadores são preconceituosos";"A mulher deve ter o direito de usar roupa curta sem ser incomodada";"As escolas deveriam ensinar valores religiosos";"O cidadão de bem deve ter o direito de portar arma";"Os negros ainda sofrem preconceito no Brasil";"Fazer aborto é sempre errado";"Travestis devem poder usar o banheiro feminino";"Gostaria agora de saber se você confia nos seguintes movimentos:";"Movimento Brasil Livre (MBL)";"Movimento dos estudantes secundaristas";"Movimento Passe Livre (MPL)";"Movimento Sem Terra (MST)";"Movimento Vem Pra Rua";"CUT";"Há duas semanas, uma manifestação artística do Museu de Arte Moderna de São Paulo foi acusada de promover a pedofilia. Você ouviu falar ou ficou sabendo desse caso?";"Do que você sabe sobre o caso, a manifestação artística promovia mesmo a pedofilia?";"Qual seria a melhor maneira de lidar com uma exposição como aquela?";"Em quem você pretende votar nas próximas eleições para presidente? (entregar o disco) Algum desses candidatos, branco, nulo ou não sabe?";"Para terminar, gostaria de saber um pouco mais de você";"Sexo:";"Somando a sua renda com a renda das pessoas que moram com você, quanto aproximadamente é a renda familiar na sua casa?";"Até que ano você estudou?";"Como você classifica a sua cor?";"outra:";"Religião";"outra:";"_id";"_uuid";"_submission_time";"_index"
"2017-10-12T15:36:02.052-03";"6f03616a4620a28f";"M beatroz";"3";"";"47";"PSDB";"de direita";"";"muito conservador";"muito antipetista";"";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não sei";"não concorda";"";"confia pouco";"não confia";"confia pouco";"não confia";"confia pouco";"não confia";"sim";"sim";"proibir esse tipo de exposição";"Jair Bolsonaro";"";"masculino";"de R$9.370,00 até R$18.740,00";"ensino superior completo";"branca";"";"católica";"";"5927300";"08f26f90-d51b-4420-82d2-dccb2aed7c68";"2017-10-12T20:49:44";"1"
"2017-10-12T15:21:59.977-03";"6f03616a4620a28f";"M beatriz";"3";"";"56";"nenhum";"centro";"não sei";"pouco conservador";"nada antipetista";"";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não sei";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não sei";"não sei";"não concorda";"";"não conhece";"não conhece";"não conhece";"não confia";"não conhece";"não confia";"sim";"sim";"impedir que menores de idade tenham acesso a esse tipo de exposição";"João Dória";"";"masculino";"de R$9.370,00 até R$18.740,00";"ensino superior completo";"branca";"";"católica";"";"5927295";"80df3c63-c940-49ab-a76d-de770443dda2";"2017-10-12T20:49:43";"2"
"2017-10-12T14:52:50.454-03";"6f03616a4620a28f";"M BEATRIZ";"3";"";"31";"PT";"de esquerda";"";"nada conservador";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não sei";"não concorda";"concorda";"não sei";"não concorda";"";"não conhece";"não conhece";"não conhece";"não conhece";"não conhece";"não conhece";"não";"";"";"branco/nulo";"";"masculino";"de R$1.880,00 até R$2.810,00";"ensino médio incompleto";"parda";"";"católica";"";"5927289";"733d55b3-a330-4eda-9b45-227e4821fb0a";"2017-10-12T20:49:42";"3"
"2017-10-12T15:15:08.628-03";"6f03616a4620a28f";"M beatrxo";"3";"";"66";"nenhum";"nada disso";"";"nada conservador";"nada antipetista";"";"concorda";"não concorda";"não concorda";"concorda";"não sei";"concorda";"não concorda";"concorda";"concorda";"não sei";"não concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"";"não conhece";"não conhece";"não conhece";"não conhece";"não conhece";"não conhece";"sim";"sim";"proibir esse tipo de exposição";"branco/nulo";"";"feminino";"de R$1.880,00 até R$2.810,00";"ensino superior completo";"parda";"";"católica";"";"5927292";"ae095e3d-f564-4498-911c-aa2d94fad7ec";"2017-10-12T20:49:42";"4"
"2017-10-12T14:46:46.363-03";"6f03616a4620a28f";"M beatrjz";"3";"";"23";"PT";"centro";"mais de squerda";"pouco conservador";"nada antipetista";"";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não sei";"concorda";"concorda";"concorda";"concorda";"não sei";"não sei";"concorda";"concorda";"não sei";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não sei";"não concorda";"";"confia pouco";"confia pouco";"confia pouco";"confia pouco";"confia pouco";"confia pouco";"sim";"não";"avisar que a exposição tem nudez e deixar que cada pai decida o que é melhor para o seu filho";"Lula";"";"feminino";"de R$1.880,00 até R$2.810,00";"ensino superior completo";"parda";"";"católica";"";"5927287";"991051ad-0cd1-4744-b0a1-8806cc3028d7";"2017-10-12T20:49:41";"5"
"2017-10-12T14:22:01.784-03";"6f03616a4620a28f";"M Beatriz";"3";"";"58";"PSDB";"centro";"mais de squerda";"pouco conservador";"pouco antipetista";"";"não concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não sei";"não concorda";"concorda";"concorda";"concorda";"não sei";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"não sei";"não concorda";"não sei";"";"confia pouco";"não conhece";"confia pouco";"não confia";"confia pouco";"não confia";"sim";"sim";"impedir que menores de idade tenham acesso a esse tipo de exposição";"João Dória";"";"masculino";"de R$2.810,00 até R$4.690,00";"ensino superior completo";"parda";"";"católica";"";"5927281";"00a8dd75-6bca-4e18-9dc8-56aa6d645627";"2017-10-12T20:49:40";"6"
"2017-10-12T14:31:33.894-03";"6f03616a4620a28f";"M Beatriz";"3";"";"74";"nenhum";"centro";"não sei";"pouco conservador";"nada antipetista";"";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"não sei";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"";"não conhece";"não conhece";"não conhece";"não confia";"não conhece";"não confia";"não";"";"";"Lula";"";"feminino";"de R$2.810,00 até R$4.690,00";"ensino médio completo";"preta";"";"católica";"";"5927284";"5d185d12-149d-468d-8255-280cce915e23";"2017-10-12T20:49:40";"7"
"2017-10-12T14:17:18.062-03";"6f03616a4620a28f";"Mbestriz";"3";"";"59";"nenhum";"nada disso";"";"nada conservador";"muito antipetista";"";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"não sei";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não sei";"não sei";"";"não conhece";"não conhece";"não conhece";"não confia";"não conhece";"não confia";"sim";"sim";"impedir que menores de idade tenham acesso a esse tipo de exposição";"não sei";"";"feminino";"de R$2.810,00 até R$4.690,00";"ensino superior completo";"branca";"";"católica";"";"5927279";"8a955536-9458-4b30-a9b1-3b1d4a736af2";"2017-10-12T20:49:39";"8"
"2017-10-12T14:03:00.978-03";"6f03616a4620a28f";"Mbea";"3";"";"46";"nenhum";"nada disso";"";"muito conservador";"pouco antipetista";"";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"";"não confia";"não conhece";"não confia";"não confia";"confia pouco";"não confia";"sim";"sim";"impedir que menores de idade tenham acesso a esse tipo de exposição";"Jair Bolsonaro";"";"masculino";"de R$2.810,00 até R$4.690,00";"ensino médio completo";"branca";"";"católica";"";"5927276";"09fea144-de56-401c-a3ef-527adb526a01";"2017-10-12T20:49:38";"9"
"2017-10-12T13:53:29.991-03";"6f03616a4620a28f";"M beatriz";"3";"";"21";"nenhum";"nada disso";"";"pouco conservador";"muito antipetista";"";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"não sei";"concorda";"não sei";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"";"não conhece";"não conhece";"não conhece";"não confia";"não confia";"não confia";"sim";"não sei";"avisar que a exposição tem nudez e deixar que cada pai decida o que é melhor para o seu filho";"branco/nulo";"";"masculino";"de R$4.690,00 até R$9.370,00";"ensino médio incompleto";"preta";"";"católica";"";"5927271";"dba07d03-a84d-4887-8e14-af984c114179";"2017-10-12T20:49:38";"10"
