"","Entrevistador","Horário","Região","Idade","Sexo","Renda","Escolaridade","Cor","Especificar","Sistema.Político","Político.Honesto","Fora.do.Jogo","Militares","Juiz.Honesto","Plebiscitos","Movimentos.Sociais","Lava.Jato","Zelotes","Metrô","Mensalão.PT","Mensalão.PSDB","Dilma","Alckmin","Haddad","Aécio","Cunha","Calheiros","Figura.Honesta","Impostos","Falta.Recursos","Corrupção","Má.administração","Financiamento.Empresarial","Saúde.todos","Saúde.gratuita","Mais.Médicos","Educação.todos","Educação.gratuita","Transporte.todos","Transporte.gratuito","Reduzir.impostos","Red.imp.alguns","Esforço","Punição","Maconha","Haitianos","Estupros","Gays","Negros","Joaquim.Levy","Crise.hídrica","Partido","Prefeitura"
"1","Amanda B.","13h","II",45,"Feminino","de R$ 7.880 a R$ 15.760","superior completo","branca","","3- não satisfeito","1- concordo totalmente","2- concordo em parte","3- não concordo","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","1- grave","2- não grave","1- grave","1- grave","1- grave","1- sim","1- sim","1- sim","1- sim","1- sim","1- sim","não conhece","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","2- concordo em parte","2- concordo em parte","2- concordo em parte","1- concordo totalmente","2- concordo em parte","3- não concordo","3- não concordo","3- não concordo","2- não","1- muita","PT e PSDB","nenhum"
"2","Amanda B.","13h13","II",26,"Feminino","de R$ 7.880 a R$ 15.760","superior incompleto","branca","","3- não satisfeito","1- concordo totalmente","2- concordo em parte","3- não concordo","2- concordo em parte","2- concordo em parte","2- concordo em parte","1- grave","3- não sei","3- não sei","1- grave","1- grave","1- sim","1- sim","1- sim","2- não","2- não","1- sim","Joaquim Barbosa","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","2- não","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","2- concordo em parte","3- não concordo","3- não concordo","3- não concordo","2- concordo em parte","3- não sei","1- muita","1- PT","nenhum"
"3","Amanda B.","13h25","II",62,"Masculino","de R$ 3.940 a R$ 7.880","médio completo","parda","","3- não satisfeito","3- não concordo","2- concordo em parte","2- concordo em parte","3- não concordo","2- concordo em parte","2- concordo em parte","1- grave","3- não sei","1- grave","1- grave","1- grave","1- sim","1- sim","1- sim","1- sim","1- sim","1- sim","Joaquim Barbosa","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","3- não","1- concordo totalmente","2- concordo em parte","3- não","2- concordo totalmente","3- não concordo","2- concordo em parte","3- não concordo","2- concordo totalmente","2- concordo totalmente","2- concordo em parte","2- concordo em parte","3- não concordo","3- não concordo","4- não concordo","2- concordo em parte","1- concordo totalmente","3- não sei","1- muita","PT e PSDB","nenhum"
"4","Amanda B.","13h47","II",53,"Masculino","de R$ 7.880 a R$ 15.760","superior completo","parda","","4- não satisfeito","2- concordo em parte","2- concordo em parte","3- não concordo","2- concordo em parte","2- concordo em parte","1- concordo totalmente","2- grave","4- não sei","2- grave","2- grave","2- grave","3- não sei","3- não sei","3- não sei","3- não sei","3- não sei","1- sim","Silvio Luiz","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","2- não","2- concordo totalmente","1- concordo totalmente","4- não","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","3- não concordo","2- concordo em parte","3- não concordo","2- concordo em parte","2- concordo em parte","2- concordo em parte","3- não concordo","5- não concordo","3- não concordo","1- concordo totalmente","3- não sei","2- muita","PT e PSDB","João Doria"
"5","Amanda B.","14h","II",61,"Feminino","de R$ 7.880 a R$ 15.760","superior completo","branca","","5- não satisfeito","1- concordo totalmente","1- concordo totalmente","3- não concordo","3- não concordo","2- concordo em parte","3- não concordo","3- grave","1- grave","1- grave","3- grave","3- grave","1- sim","2- não","1- sim","2- não","1- sim","1- sim","Alckimin","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","3- não","3- concordo totalmente","2- concordo em parte","5- não","2- concordo totalmente","1- concordo totalmente","3- não concordo","3- não concordo","1- concordo totalmente","3- não concordo","3- não concordo","2- concordo em parte","2- concordo em parte","3- não concordo","6- não concordo","3- não concordo","1- concordo totalmente","2- não","2- pouca","sem resposta","nenhum"
"6","Amanda B.","14h10","II",40,"Feminino","de R$ 2.364 a R$ 3.940","superior incompleto","preta","","6- não satisfeito","2- concordo em parte","3- não concordo","3- não concordo","2- concordo em parte","1- concordo totalmente","1- concordo totalmente","4- grave","3- não sei","1- grave","4- grave","4- grave","2- sim","1- sim","2- sim","1- sim","1- sim","1- sim","não conhece","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","4- não","4- concordo totalmente","1- concordo totalmente","1- sim","3- concordo totalmente","1- concordo totalmente","1- concordo totalmente","3- não concordo","1- concordo totalmente","3- não concordo","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","3- não concordo","7- não concordo","4- não concordo","3- não concordo","3- não sei","1- muita","1- PT","nenhum"
"7","Amanda B.","14h30","II",36,"Masculino","de R$ 3.940 a R$ 7.880","médio completo","branca","","7- não satisfeito","1- concordo totalmente","3- não concordo","3- não concordo","3- não concordo","3- não concordo","3- não concordo","5- grave","4- não sei","3- não sei","5- grave","5- grave","3- sim","2- não","3- sim","3- não sei","3- não sei","1- sim","Jair Bolsonaro","1- concordo totalmente","3- não concordo","3- não concordo","1- concordo totalmente","1- sim","2- concordo em parte","3- não concordo","7- não","3- não concordo","2- concordo em parte","3- não concordo","4- não concordo","2- concordo totalmente","3- não concordo","3- não concordo","1- concordo totalmente","3- não concordo","2- concordo em parte","8- não concordo","5- não concordo","1- concordo totalmente","2- não","1- muita","2- PSDB","nenhum"
"8","Amanda B.","14h43","II",16,"Feminino","de R$ 1.576 a R$ 2.364","médio incompleto","branca","","8- não satisfeito","1- concordo totalmente","2- concordo em parte","3- não concordo","2- concordo em parte","2- concordo em parte","2- concordo em parte","6- grave","3- não sei","1- grave","6- grave","6- grave","4- sim","2- não","4- sim","2- não","1- sim","1- sim","Aécio Neves","2- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","6- não","6- concordo totalmente","1- concordo totalmente","8- não","5- concordo totalmente","1- concordo totalmente","1- concordo totalmente","1- concordo totalmente","3- concordo totalmente","1- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","3- não concordo","9- não concordo","6- não concordo","1- concordo totalmente","3- não sei","2- pouca","2- PSDB","nenhum"
"9","Amanda B.","14h57","II",55,"Feminino","acima de R$ 15.760","superior completo","branca","","9- não satisfeito","3- não concordo","3- não concordo","3- não concordo","3- não concordo","1- concordo totalmente","2- concordo em parte","7- grave","1- grave","1- grave","7- grave","7- grave","3- não sei","3- não sei","3- não sei","3- não sei","1- sim","1- sim","Fernando Gabeira","3- concordo totalmente","3- não concordo","2- concordo em parte","1- concordo totalmente","7- não","7- concordo totalmente","2- concordo em parte","1- sim","6- concordo totalmente","1- concordo totalmente","2- concordo em parte","3- não concordo","4- concordo totalmente","2- concordo em parte","3- não concordo","1- concordo totalmente","1- concordo totalmente","3- não concordo","10- não concordo","7- não concordo","2- concordo em parte","3- não sei","1- muita","2- PSDB","nenhum"
"10","Amanda B.","15h08","II",48,"Feminino","de R$ 3.940 a R$ 7.880","superior completo","indígena","diz que tem avó indígena","10- não satisfeito","1- concordo totalmente","2- concordo em parte","1- concordo totalmente","1- concordo totalmente","3- não concordo","3- não concordo","8- grave","1- grave","3- não sei","8- grave","3- não sei","6- sim","2- não","6- sim","3- não sei","3- não sei","1- sim","Juiz Moro","4- concordo totalmente","3- não concordo","1- concordo totalmente","1- concordo totalmente","3- não sei","8- concordo totalmente","1- concordo totalmente","10- não","7- concordo totalmente","1- concordo totalmente","1- concordo totalmente","3- não concordo","3- não concordo","1- concordo totalmente","3- não concordo","1- concordo totalmente","3- não concordo","1- concordo totalmente","2- concordo em parte","8- não concordo","1- concordo totalmente","2- não","3- não","sem resposta","nenhum"
