"start";"end";"Olá, estamos fazendo uma pesquisa acadêmica para conhecer os participantes da marcha. Você poderia responder umas perguntas? Não vai levar mais do que 5 minutos e você não precisa nos dizer o seu nome. ";"Qual é sua idade?";"Quais dos seguintes aspectos foram mais marcantes no assassinato de Marielle Franco? ";"Ela ser uma mulher negra:";"Ela ser uma vereadora eleita: ";"Ela ser uma representante da favela:";"Ela ser uma política íntegra:";"Ela ser defensora de direitos humanos:";"Você é a favor da intervenção do governo federal na segurança pública no Rio de Janeiro?";"Você acha que o exército deve auxiliar a polícia no combate ao crime nas grandes cidades?";"Gostaria de saber se você participou de manifestações nos últimos anos sobre alguns desses temas:";"Gostaria de saber se você participou de manifestações nos últimos anos sobre alguns desses temas:/junho de 2013";"Gostaria de saber se você participou de manifestações nos últimos anos sobre alguns desses temas:/pedindo o impeachment da ex-presidente Dilma Rousseff";"Gostaria de saber se você participou de manifestações nos últimos anos sobre alguns desses temas:/contrária ao impeachment da ex-presidente Dilma Rousseff";"Gostaria de saber se você participou de manifestações nos últimos anos sobre alguns desses temas:/parada LGBT (parada Gay)";"Gostaria de saber se você participou de manifestações nos últimos anos sobre alguns desses temas:/marcha da maconha";"Em quais desses veículos de notícia e opinião você confia? (as respostas são: "confia", "não confia" e "não sei")";"Jornal Folha de São Paulo";"Revista Veja";"Portal UOL";"Site Brasil 247";"Site Noticias Brasil Online";"Site Diário do Centro do Mundo";"Site O Diário Nacional";"Agora, gostaria de saber, entre os partidos políticos brasileiros, com qual você se identifica mais?";"Outro:";"Algumas perguntas agora sobre como você se define.";"Em termos políticos, você se considera de esquerda, de direita, de centro ou nada disso?";"Mas entre esquerda e direita, você é mais de esquerda ou mais de direita?";"No que diz respeito a temas como família, drogas e punição a criminosos, você se considera conservador(a)?";"Você se considera feminista?";"Você se considera antipetista?";"Para terminar, queria agora saber um pouco de você.";"Sexo:";"Outro:";"Somando a sua renda com a renda das pessoas que moram com você, quanto aproximadamente é a renda familiar na sua casa?";"Até que ano você estudou?";"Como você classifica a sua cor?";"Outra:";"E qual é a sua religião? ";"Outra:";"Muito obrigado pelas respostas!";"_id";"_uuid";"_submission_time";"_index"
"2018-03-18T13:24:40.921-03";"2018-03-18T14:13:12.066-03";"";"24";"";"muito marcante";"muito marcante";"muito marcante";"um pouco marcante";"muito marcante";"não";"não";"junho de 2013 parada LGBT (parada Gay)";"1";"0";"0";"1";"0";"";"não confia";"não confia";"não confia";"não confia";"não confia";"não confia";"não confia";"outro";"Pstu";"";"de centro";"mais de esquerda";"nada conservador";"muito feminista";"não sei";"";"feminino";"";"acima de R$ 19.080";"ensino superior incompleto";"branca";"";"outra";"Candomblé";"";"9218287";"604c2824-6c13-43c4-b8ee-7eb559a23b27";"2018-03-18T21:43:40";"1"
"2018-03-18T15:02:41.720-03";"2018-03-18T15:08:45.567-03";"";"35";"";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"não";"não";"";"";"";"";"";"";"";"não confia";"não confia";"não confia";"não sei";"não sei";"não sei";"não confia";"PSOL";"";"";"de esquerda";"";"nada conservador";"não sei";"nada antipetista";"";"feminino";"";"de R$ 9.540 a R$ 19.080";"ensino superior completo";"preta";"";"católica";"";"";"9218288";"816e8295-02d8-4c53-ba5d-44eca52e29e8";"2018-03-18T21:43:40";"2"
"2018-03-18T15:12:16.290-03";"2018-03-18T15:18:18.894-03";"";"44";"";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"não";"não";"contrária ao impeachment da ex-presidente Dilma Rousseff parada LGBT (parada Gay) marcha da maconha";"0";"0";"1";"1";"1";"";"não confia";"não confia";"não confia";"não confia";"não confia";"não sei";"não confia";"nenhum";"";"";"de esquerda";"";"nada conservador";"";"nada antipetista";"";"masculino";"";"de R$ 1.908 a R$ 2.862 ";"ensino superior completo";"parda";"";"nenhuma";"";"";"9218290";"cb44cdde-cc7e-49b2-a01e-b5a6423ab42e";"2018-03-18T21:43:41";"3"
"2018-03-18T15:24:54.669-03";"2018-03-18T15:30:38.897-03";"";"35";"";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"não";"não";"junho de 2013 contrária ao impeachment da ex-presidente Dilma Rousseff parada LGBT (parada Gay) marcha da maconha";"1";"0";"1";"1";"1";"";"confia";"confia";"não sei";"não confia";"não sei";"não sei";"não sei";"PSOL";"";"";"de esquerda";"";"nada conservador";"nada feminista";"pouco antipetista";"";"masculino";"";"de R$ 2.862 a R$ 4.770";"ensino superior completo";"preta";"";"nenhuma";"";"";"9218291";"4e5ebdc6-97b7-4c34-833a-822ae2a7b588";"2018-03-18T21:43:42";"4"
"2018-03-18T15:41:40.705-03";"2018-03-18T15:46:27.976-03";"";"58";"";"muito marcante";"muito marcante";"não muito marcante";"muito marcante";"muito marcante";"não";"não";"junho de 2013";"1";"0";"0";"0";"0";"";"confia";"não confia";"não sei";"não sei";"não sei";"não sei";"não sei";"nenhum";"";"";"de esquerda";"";"nada conservador";"pouco feminista";"nada antipetista";"";"masculino";"";"de R$ 9.540 a R$ 19.080";"ensino superior completo";"branca";"";"nenhuma";"";"";"9218292";"81575d24-9575-4e3a-9456-30010b335d5f";"2018-03-18T21:43:43";"5"
"2018-03-18T15:59:43.350-03";"2018-03-18T16:04:37.655-03";"";"59";"";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"não";"não";"junho de 2013 contrária ao impeachment da ex-presidente Dilma Rousseff";"1";"0";"1";"0";"0";"";"não confia";"não confia";"não confia";"não confia";"não sei";"não sei";"não sei";"outro";"Pstu";"";"de esquerda";"";"nada conservador";"pouco feminista";"nada antipetista";"";"masculino";"";"de R$ 2.862 a R$ 4.770";"ensino superior incompleto";"branca";"";"nenhuma";"";"";"9218293";"5923f9ca-3947-4ce8-84e5-77857414f090";"2018-03-18T21:43:43";"6"
"2018-03-18T16:04:42.658-03";"2018-03-18T16:09:04.041-03";"";"32";"";"muito marcante";"um pouco marcante";"muito marcante";"muito marcante";"muito marcante";"não";"não";"junho de 2013 contrária ao impeachment da ex-presidente Dilma Rousseff parada LGBT (parada Gay)";"1";"0";"1";"1";"0";"";"não sei";"não confia";"não confia";"confia";"não sei";"não sei";"não sei";"outro";"Pstu";"";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"feminino";"";"de R$ 1.908 a R$ 2.862 ";"ensino superior completo";"branca";"";"nenhuma";"";"";"9218294";"6da774df-9ea5-4f68-9264-9fa1c508b51c";"2018-03-18T21:43:44";"7"
"2018-03-18T16:09:13.148-03";"2018-03-18T16:13:13.439-03";"";"18";"";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"não";"não";"junho de 2013 contrária ao impeachment da ex-presidente Dilma Rousseff parada LGBT (parada Gay)";"1";"0";"1";"1";"0";"";"não confia";"não confia";"não confia";"não sei";"não sei";"não sei";"não sei";"nenhum";"";"";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"feminino";"";"de R$ 2.862 a R$ 4.770";"ensino superior incompleto";"branca";"";"nenhuma";"";"";"9218295";"87a01a1f-5e07-46fd-958b-a45c2e794b7b";"2018-03-18T21:43:45";"8"
"2018-03-18T16:17:24.572-03";"2018-03-18T16:23:56.955-03";"";"25";"";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"não";"não";"junho de 2013 contrária ao impeachment da ex-presidente Dilma Rousseff parada LGBT (parada Gay) marcha da maconha";"1";"0";"1";"1";"1";"";"não confia";"não confia";"não confia";"não sei";"não sei";"não sei";"não sei";"PSOL";"";"";"de esquerda";"";"nada conservador";"muito feminista";"muito antipetista";"";"feminino";"";"de R$ 9.540 a R$ 19.080";"ensino superior completo";"branca";"";"nenhuma";"";"";"9218296";"47fbb1c9-b384-4e59-9b17-b936601ec0a4";"2018-03-18T21:43:45";"9"
"2018-03-18T16:37:39.899-03";"2018-03-18T16:42:05.555-03";"";"36";"";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"muito marcante";"não";"não";"junho de 2013 contrária ao impeachment da ex-presidente Dilma Rousseff parada LGBT (parada Gay)";"1";"0";"1";"1";"0";"";"não confia";"não confia";"não confia";"não sei";"não sei";"confia";"não sei";"outro";"Mrt";"";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"masculino";"";"de R$ 1.908 a R$ 2.862 ";"ensino superior completo";"branca";"";"nenhuma";"";"";"9218297";"7ca45779-4121-4429-9c9f-4ec3aa505eab";"2018-03-18T21:43:46";"10"
