Timestamp,Entrevistador,Número do questionário,Horário,Região,1. Idade,2. Sexo,3. Renda familiar,4. Escolaridade,5. Cor,6. Você confia na imprensa?,7. Você confia nos partidos políticos?,Partidos: [8. PT],Partidos: [9. PSDB],Partidos: [10. PMDB],Partidos: [11. Rede],Partidos: [12. PSOL],Partidos: [13. PSTU],14. Você confia nas ONGS?,15. Você confia nos movimentos sociais?,Movimentos: [16. Movimento Brasil Livre],Movimentos: [17. Estudantes secundaristas],Movimentos: [18. MPL],Movimentos: [19. MST],Movimentos: [20. MTST],Movimentos: [21. Vem pra Rua],Movimentos: [22. Revoltados Online],23. Você confia nos políticos?,24. Você votou nas últimas eleições para Presidente?,25. Em quem votou?,26. Você é a favor do Impeachment da presidenta Dilma Rousseff?,27. Você foi em alguma manifestação a favor do Impeachment?,28. Você foi em alguma manifestação contrária ao Impeachment?,"29. Você foi em alguma manifestação pedindo o ""fora todos""?",30. Você se informa sobre política no Twitter?,31. Você se informa sobre política no Whatsapp?,32. Você se informa sobre política no Facebook?,33. Não há grande diferença entre governos de esquerda e de direita.,34. O PT é um partido corrupto.,"35. Conquistas do governo do PT como o Bolsa Família, o FIES e o Minha Casa, Minha Vida melhoraram a vida dos brasileiros",36. Os movimentos sociais deveriam ser independentes dos partidos políticos
5/19/2016 9:37:02,Eloisa Deveze,1,4:20:00 PM,3,16,Masculino,de R$ 1.760 a R$ 2.640,ensino médio incompleto,branca,confia pouco,não confia,não confia,não confia,não confia,não conhece,não confia,não conhece,confia pouco,confia pouco,não conhece,confia muito,confia muito,confia pouco,confia pouco,confia pouco,não confia,não confia,não,,não,não,não,não,nada,pouco,muito,concordo em parte,concordo totalmente,concordo totalmente,concordo totalmente
5/19/2016 9:40:44,Eloisa Deveze,2,4:45:00 PM,3,16,Feminino,"até R$ 1.760,00",ensino médio incompleto,parda,confia pouco,confia pouco,confia pouco,não confia,não confia,não conhece,confia pouco,confia pouco,confia pouco,confia muito,não conhece,confia muito,confia muito,confia pouco,confia pouco,confia pouco,não conhece,não confia,não,,não,não,não,não,muito,nada,muito,não concordo,concordo em parte,concordo totalmente,concordo totalmente
5/19/2016 9:45:33,Eloisa Deveze,3,5:05:00 PM,,19,Feminino,de R$ 2.640 a R$ 4.400,ensino médio completo,branca,não confia,confia pouco,confia pouco,não confia,não confia,não confia,confia pouco,não conhece,confia muito,confia muito,não conhece,confia muito,confia muito,confia muito,confia muito,não confia,não conhece,confia pouco,não,,não,não,sim,não,nada,nada,muito,não concordo,concordo em parte,concordo totalmente,concordo totalmente
5/19/2016 9:50:44,Eloisa Deveze,4,5:10:00 PM,3,18,Feminino,de R$ 8.800 a R$ 17.600,ensino médio completo,amarela,não confia,confia pouco,confia pouco,não confia,não confia,não conhece,confia pouco,não conhece,confia muito,confia muito,não conhece,confia muito,confia muito,confia muito,confia muito,não confia,não conhece,confia pouco,não,,não,não,sim,não,pouco,nada,muito,não concordo,concordo em parte,concordo totalmente,concordo totalmente
5/19/2016 9:54:59,Eloisa Deveze,5,5:20:00 PM,3,17,Feminino,de R$ 1.760 a R$ 2.640,ensino médio completo,parda,não confia,confia pouco,não confia,não confia,não confia,não conhece,confia pouco,confia pouco,confia muito,confia muito,não confia,confia muito,confia muito,confia pouco,confia muito,não confia,não confia,confia pouco,não,,não,não,sim,não,nada,pouco,muito,não concordo,concordo em parte,concordo totalmente,concordo totalmente
5/19/2016 9:59:53,6,6,5:25:00 PM,3,17,Feminino,de R$ 2.640 a R$ 4.400,ensino médio completo,branca,confia pouco,confia pouco,confia pouco,não confia,não confia,não conhece,confia pouco,confia pouco,confia pouco,confia muito,não confia,confia muito,confia muito,confia muito,confia muito,não conhece,não confia,confia pouco,não,,não,não,sim,não,pouco,pouco,muito,não concordo,concordo em parte,concordo totalmente,concordo totalmente
5/19/2016 10:03:41,Eloisa Deveze,7,5:30:00 PM,3,17,Feminino,de R$ 8.800 a R$ 17.600,ensino médio incompleto,branca,confia pouco,não confia,confia pouco,não confia,não confia,não conhece,confia pouco,não confia,confia pouco,confia muito,não conhece,confia muito,confia muito,confia muito,confia muito,confia pouco,não conhece,confia pouco,não,,não,não,sim,não,nada,nada,muito,não concordo,concordo em parte,concordo totalmente,concordo totalmente
5/19/2016 10:07:20,Eloisa Deveze,8,5:38:00 PM,3,17,Feminino,acima de R$ 17.600,ensino médio completo,branca,confia pouco,não confia,confia pouco,não confia,não confia,não conhece,confia pouco,não confia,confia pouco,confia muito,não conhece,confia muito,confia muito,confia muito,confia muito,não confia,não conhece,não confia,não,,não,não,sim,não,pouco,nada,pouco,não concordo,concordo em parte,concordo totalmente,concordo em parte
5/19/2016 10:12:13,Eloisa Deveze,9,5:45:00 PM,3,18,Feminino,acima de R$ 17.600,ensino médio incompleto,branca,não confia,confia pouco,confia pouco,não confia,não confia,não conhece,confia pouco,não confia,confia pouco,confia muito,não conhece,confia muito,confia muito,confia muito,confia muito,não confia,não conhece,confia pouco,não,,não,não,sim,não,nada,nada,pouco,não concordo,concordo em parte,concordo totalmente,concordo em parte
5/19/2016 10:17:05,Eloisa Deveze,10,5:50:00 PM,3,16,Feminino,acima de R$ 17.600,ensino médio incompleto,branca,confia pouco,confia pouco,confia pouco,não confia,não confia,não conhece,confia pouco,não conhece,confia pouco,confia muito,não conhece,confia muito,confia muito,confia muito,confia muito,não confia,não conhece,confia pouco,não,,não,não,sim,não,nada,pouco,nada,não concordo,concordo em parte,concordo totalmente,concordo em parte
5/19/2016 10:21:59,Eloisa Deveze,11,6:00:00 PM,3,18,Feminino,de R$ 2.640 a R$ 4.400,ensino médio completo,branca,confia pouco,não confia,não confia,não confia,não confia,não confia,não confia,não conhece,confia pouco,confia pouco,não conhece,confia muito,confia muito,confia pouco,confia pouco,não conhece,não confia,não confia,não,,não,não,não,não,nada,pouco,pouco,concordo em parte,concordo totalmente,concordo em parte,concordo totalmente
5/19/2016 10:25:40,Eloisa Deveze,12,6:07:00 PM,3,16,Feminino,de R$ 4.400 a R$ 8.800,ensino médio incompleto,preta,confia pouco,não confia,não confia,não confia,não confia,não conhece,confia pouco,não confia,confia pouco,confia muito,não conhece,confia muito,confia pouco,confia pouco,não conhece,não confia,não conhece,não confia,não,,não,não,não,não,muito,muito,muito,concordo em parte,não sei,concordo totalmente,concordo em parte
