"start";"deviceid";"Entrevistador";"Região";"Olá! Estamos fazendo uma pesquisa para a USP e a Unifesp e gostaria de saber se você pode responder a algumas questões. São apenas alguns minutos e você não precisa se identificar";"Qual é a sua idade:";"Para começar, gostaria de saber, entre os partidos políticos brasileiros, com qual você se identifica?";"Em termos políticos, você se considera de esquerda, de direita, de centro ou nada disso?";"Mas entre esquerda e direita, você é mais de esquerda ou mais de direita?";"No que diz respeito a temas como família, drogas e punição a criminosos, você se considera conservador?";"Você se considera feminista?";"Você se considera antipetista?";"Agora, vou ler uma série de afirmações e gostaria de saber se você concorda ou não concorda com elas:";"Os direitos humanos atrapalham o combate ao crime";"Os valores religiosos deveriam orientar as leis";"Deveria ser permitido aos adultos fumar maconha";"A polícia é mais violenta com os negros do que com os brancos";"Fazer aborto deve ser um direito da mulher";"A união de pessoas do mesmo sexo não constitui uma família";"A escola deveria ensinar a respeitar os gays";"Cotas são uma boa medida para fazer com que os negros entrem na universidade";"Menores de idade que cometem crimes devem ir para a cadeia";"O bolsa-família estimula as pessoas a não trabalhar";"Cantar uma mulher na rua é ofensivo";"Feminismo é machismo ao contrário";"Dois homens devem poder se beijar na rua sem serem importunados";"Não se deve condenar uma mulher que transe com muitas pessoas";"O lugar da mulher é em casa cuidando da família";"Precisamos punir os criminosos com mais tempo de cadeia";"A pena de morte deve ser aplicada para punir crimes graves";"Os conservadores são preconceituosos";"A mulher deve ter o direito de usar roupa curta sem ser incomodada";"As escolas deveriam ensinar valores religiosos";"O cidadão de bem deve ter o direito de portar arma";"Os negros ainda sofrem preconceito no Brasil";"Fazer aborto é sempre errado";"Travestis devem poder usar o banheiro feminino";"Para terminar este bloco vou fazer duas perguntas.";"Você concorda com a reforma da previdência do governo Temer?";"Você é a favor da permanência do presidente Temer no governo?";"Para terminar, gostaria de saber um pouco mais de você";"Sexo:";"Somando a sua renda com a renda das pessoas que moram com você, quanto aproximadamente é a renda familiar na sua casa?";"Até que ano você estudou?";"Como você classifica a sua cor?";"outra:";"__version__";"_id";"_uuid";"_submission_time";"_index"
"2017-03-15T15:21:07.681-03";"ac:d0:74:8d:11:27";"Vitor";"Masp";"";"24";"Outro";"nada disso";"";"não sei";"muito feminista";"muito antipetista";"";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não sei";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"";"";"";"";"masculino";"até R$1880,00";"ensino médio incompleto";"branca";"";"vc8VSg82UGuAKfa9oaFBEN";"2984204";"a8f50fb0-cfa2-499f-8d5d-7c6cab2b0693";"2017-03-15T21:34:18";"1"
"2017-03-15T15:29:10.807-03";"ac:d0:74:8d:11:27";"Vítor";"Masp";"";"26";"PSOL";"de esquerda";"";"pouco conservador";"pouco feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"masculino";"de R$2810,00 até R$4690,00";"ensino superior incompleto";"parda";"";"vc8VSg82UGuAKfa9oaFBEN";"2984205";"bb21efaa-442f-4bbf-82cc-77fd3359809d";"2017-03-15T21:34:18";"2"
"2017-03-15T15:37:55.036-03";"ac:d0:74:8d:11:27";"Vitor";"Masp";"";"37";"PSOL";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"masculino";"de R$9370,00 até R$18740,00";"ensino superior completo";"parda";"";"vc8VSg82UGuAKfa9oaFBEN";"2984206";"573854a6-a9b8-4e00-9820-7783dbacbf91";"2017-03-15T21:34:19";"3"
"2017-03-15T15:47:05.345-03";"ac:d0:74:8d:11:27";"Vitor";"Masp";"";"50";"PT";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"não sei";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"feminino";"de R$9370,00 até R$18740,00";"ensino superior completo";"parda";"";"vc8VSg82UGuAKfa9oaFBEN";"2984207";"38735ba2-46fa-43a4-9909-6f531d330951";"2017-03-15T21:34:20";"4"
"2017-03-15T16:05:18.485-03";"ac:d0:74:8d:11:27";"Vitor";"MASP
";"";"29";"PCdoB";"de esquerda";"";"nada conservador";"muito feminista";"pouco antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não sei";"concorda";"não concorda";"concorda";"";"";"";"";"masculino";"de R$4690,00 até R$9370,00";"ensino superior completo";"parda";"";"vc8VSg82UGuAKfa9oaFBEN";"2984208";"19469c9a-707f-4a51-88cf-6958b876f775";"2017-03-15T21:34:22";"5"
"2017-03-15T16:08:59.029-03";"ac:d0:74:8d:11:27";"Vitor";"Masp";"";"29";"Não sei";"de esquerda";"";"nada conservador";"muito feminista";"muito antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"branca";"";"vc8VSg82UGuAKfa9oaFBEN";"2984209";"ee2cbf5e-7351-4c54-a19a-41e0a22a7f47";"2017-03-15T21:34:23";"6"
"2017-03-15T16:44:57.190-03";"ac:d0:74:8d:11:27";"Vitor";"Masp";"";"25";"PCdoB";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"feminino";"de R$2810,00 até R$4690,00";"ensino superior incompleto";"branca";"";"vc8VSg82UGuAKfa9oaFBEN";"2984210";"eed44fcf-314b-416b-95fa-640d4d9888ee";"2017-03-15T21:34:24";"7"
"2017-03-15T16:48:35.178-03";"ac:d0:74:8d:11:27";"Vitor";"Masp";"";"45";"PSOL";"de esquerda";"";"nada conservador";"pouco feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"masculino";"de R$4690,00 até R$9370,00";"ensino superior completo";"branca";"";"vc8VSg82UGuAKfa9oaFBEN";"2984211";"3825d39f-6b14-4d47-ba15-c01f8c7c1ad3";"2017-03-15T21:34:25";"8"
"2017-03-15T17:00:20.982-03";"ac:d0:74:8d:11:27";"Vitor";"Masp";"";"46";"PSOL";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"feminino";"de R$9370,00 até R$18740,00";"ensino superior completo";"branca";"";"vc8VSg82UGuAKfa9oaFBEN";"2984212";"052d2022-ff09-46f4-baba-3a3cc0d17f0c";"2017-03-15T21:34:25";"9"
"2017-03-15T17:02:58.050-03";"ac:d0:74:8d:11:27";"Vitor";"Masp";"";"55";"PT";"de esquerda";"";"nada conservador";"nada feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"";"";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"branca";"";"vc8VSg82UGuAKfa9oaFBEN";"2984213";"6c41b7b9-1c90-4532-98a6-d0857319f3e7";"2017-03-15T21:34:26";"10"
