Indicação de data e hora,Entrevistador(a),Horário,Região,Idade,Sexo,Renda,Escolaridade,Cor,Como veio para manifestação,Está satisfeito(a) com o governo Dilma:,Imprensa,Partidos políticos,PT,PSDB,PMDB,REDE,PSOL,ONGs,Movimentos Sociais,Movimento Brasil Livre,Secundaristas,Passe Livre,MST,MTST,Vem Pra Rua,Revoltados Online,Políticos,Aécio Neves,Dilma Rousseff,Eduardo Cunha,Fernando Haddad,Geraldo Alckmin,Jair Bolsonaro,Jean Wyllys,José Serra,Luciana Genro,Lula,Marina Silva,Twitter,Whatsapp,Facebook,Entregar o poder para um político honesto,Entregar o poder para alguém de fora do jogo político,Entregar o poder para os militares,Entregar o poder para um juiz honesto,"Decisões políticas passem a ser tomadas pelos próprios cidadãos por meio de consultas, como os plebiscitos",Fortalecer organizações comunitárias como as ONGs e os movimentos sociais,Lava Jato,Zelotes,CPTM,Mensalão Petista,Mensalão Tucano,Os manifestantes pró-impeachment não querem o fim da corrupção: querem apenas retirar a presidente Dilma,É preciso descriminalizar as drogas para diminuir o encarceramento dos mais pobres,O juiz Sérgio Moro é filiado ao PSDB,Quem protesta contra a corrupção é apenas a classe média que não quer que os mais pobres melhorem de vida.,Os protestos de junho de 2013 foram orquestrados pela direita,Todo tipo de abuso contra a mulher deve ser punido com prisão,Os protestos contra a corrupção são articulados pelos Estados Unidos para se apropriar do pré-sal,Escracho contra quem viola direitos humanos é uma punição justa.,Número do questionário
31/03/2016 23:28:28,Enzo Antonacci,16:45:00,II,55,Feminino,de R$ 4.400 a R$ 8.800,ensino superior completo,Branca,veio espontaneamente,Pouco satisfeito,Não confia,Confia pouco,Confia pouco,,Não confia,Não confia,Confia pouco,Confia muito,Confia muito,Não conhece,Confia muito,Confia muito,Confia muito,Confia muito,Não conhece,Não conhece,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Confia pouco,Confia muito,Não confia,nada,muito,muito,Concordo totalmente,Concordo totalmente,Não concordo,Não concordo,Concordo totalmente,Concordo totalmente,É grave,É grave,É grave,É grave,É grave,Concorda,Concorda,Concorda,Não concorda,Não concorda,Concorda,Não sei,Não sei,1
31/03/2016 23:36:59,Enzo Antonacci,16:51:00,II,47,Feminino,de R$ 2.640 a R$ 4.400,ensino superior completo,Branca,veio espontaneamente,Muito satisfeito,Não confia,Confia pouco,Confia muito,Não confia,Não confia,Não confia,Confia pouco,Confia pouco,Confia muito,Não conhece,Confia muito,Confia muito,Confia muito,Confia pouco,Confia muito,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,nada,muito,pouco,Concordo em parte,Não concordo,Não concordo,Não concordo,Concordo em parte,Concordo em parte,É grave,É grave,É grave,É grave,É grave,Concorda,Não concorda,Concorda,Concorda,Concorda,Concorda,Concorda,Não concorda,2
31/03/2016 23:53:37,Enzo Antonacci,16:58:00,II,24,Feminino,de R$ 2.640 a R$ 4.400,ensino superior incompleto,Preta,veio espontaneamente,Pouco satisfeito,Não confia,Não confia,Confia pouco,,Não confia,Não confia,Confia pouco,Confia muito,Confia muito,Não confia,Confia muito,Confia pouco,Confia muito,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Confia pouco,Não confia,Confia pouco,Não confia,Não confia,Confia pouco,Não confia,Confia pouco,Confia pouco,Não confia,nada,muito,muito,Não concordo,Não concordo,Não concordo,Não concordo,Concordo em parte,Concordo em parte,É grave,Não sei/não conheço,É grave,É grave,É grave,Concorda,Concorda,Não sei,Não concorda,Não concorda,Concorda,Concorda,Não concorda,3
01/04/2016 00:02:43,Enzo Antonacci,17:08:00,II,35,Feminino,de R$ 4.400 a R$ 8.800,ensino superior completo,Branca,veio espontaneamente,Muito satisfeito,Não confia,Não confia,Confia pouco,Não confia,Não confia,Não confia,Confia pouco,Confia muito,Confia muito,Não confia,Confia muito,Confia muito,Confia muito,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,pouco,muito,muito,Concordo totalmente,Não concordo,Não concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,É grave,É grave,É grave,É grave,É grave,Concorda,Não sei,Não concorda,Não concorda,Não concorda,Concorda,Concorda,Não sei,4
01/04/2016 00:04:40,Rafaela,16:56:00,1,19,Masculino,de R$ 2.640 a R$ 4.400,ensino médio incompleto,Parda,veio atendendo convocação do sindicato ou movimento,Não sei,Não confia,Não confia,Não confia,Não confia,Não confia,Não confia,Não confia,Confia pouco,Não confia,Não conhece,Não conhece,Não conhece,Não conhece,Não conhece,Confia pouco,Não conhece,Não confia,Não confia,Confia pouco,Confia pouco,Não conhece,Confia pouco,Não conhece,Não conhece,Não confia,Não confia,Confia muito,Não confia,nada,nada,nada,Concordo totalmente,Não concordo,Não concordo,Não concordo,Concordo totalmente,Concordo totalmente,Não sei/não conheço,Não sei/não conheço,Não sei/não conheço,Não sei/não conheço,Não sei/não conheço,Concorda,Não concorda,Não sei,Concorda,Não sei,Concorda,Não sei,Não sei,1
01/04/2016 00:08:31,Enzo Antonacci,17:16:00,II,54,Masculino,de R$ 1.760 a R$ 2.640,ensino superior incompleto,Branca,veio espontaneamente,Muito satisfeito,Confia pouco,Confia pouco,Confia pouco,Não confia,Não confia,Não conhece,Não confia,Confia pouco,Confia pouco,Confia pouco,Confia pouco,Confia muito,Confia muito,Confia muito,Confia muito,Não conhece,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia pouco,Confia muito,Confia muito,nada,nada,nada,Concordo em parte,Concordo em parte,Não concordo,Concordo em parte,Concordo totalmente,Concordo em parte,É grave,É grave,É grave,Não sei/não conheço,É grave,Concorda,Concorda,Concorda,Não concorda,Concorda,Concorda,Concorda,Concorda,5
01/04/2016 00:09:49,Rafaela,17:03:00,1,24,Feminino,de R$ 4.400 a R$ 8.800,ensino superior completo,Parda,veio espontaneamente,Pouco satisfeito,Não confia,Confia pouco,Confia pouco,Não confia,Não confia,Não conhece,Confia muito,Confia muito,Confia muito,Não confia,Confia muito,Confia pouco,Confia muito,Confia muito,Não confia,Não conhece,Não confia,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia pouco,Confia pouco,Não confia,nada,nada,muito,Não concordo,Não concordo,Não concordo,Não concordo,Concordo totalmente,Concordo totalmente,É grave,Não sei/não conheço,É grave,É grave,É grave,Concorda,Concorda,Concorda,Não concorda,Não sei,Concorda,Concorda,Não concorda,2
01/04/2016 00:12:55,Enzo Antonacci,17:21:00,II,27,Feminino,de R$ 1.760 a R$ 2.640,ensino superior completo,Branca,veio espontaneamente,Muito satisfeito,Não confia,Confia pouco,Confia muito,Não confia,Não confia,Não conhece,Não confia,Confia pouco,Confia muito,Confia muito,Confia muito,Confia muito,Confia muito,Confia muito,Confia muito,Não conhece,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Não conhece,Confia muito,Confia pouco,nada,muito,muito,Concordo totalmente,Não concordo,Não concordo,Concordo em parte,Concordo em parte,Concordo em parte,É grave,Não sei/não conheço,,É grave,É grave,Concorda,Não concorda,Concorda,Concorda,Não sei,Concorda,Não concorda,Não concorda,6
01/04/2016 00:18:03,Enzo Antonacci,17:29:00,II,58,Feminino,de R$ 1.760 a R$ 2.640,ensino superior completo,Branca,veio espontaneamente,Muito satisfeito,Não confia,Confia pouco,Confia muito,Não confia,Não confia,Não confia,Confia pouco,Confia pouco,Confia muito,Não conhece,Confia pouco,Não confia,Confia muito,Confia pouco,Não confia,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia pouco,Confia muito,Não confia,nada,nada,pouco,Concordo em parte,Não concordo,Não concordo,Não concordo,Concordo em parte,Concordo totalmente,É grave,É grave,É grave,Não é grave,É grave,Concorda,Não concorda,Não sei,Concorda,Concorda,Concorda,Concorda,Concorda,7
01/04/2016 00:18:16,Rafaela Stephanelli,17:10:00,1,56,Feminino,de R$ 4.400 a R$ 8.800,ensino superior completo,Parda,veio espontaneamente,Muito satisfeito,Não confia,Confia muito,Confia muito,Não confia,Não confia,Não confia,Confia pouco,Confia pouco,Confia muito,Não confia,Confia muito,Confia pouco,Confia muito,Confia muito,Não confia,Não confia,Confia pouco,Não confia,Confia muito,Não confia,Confia muito,Não confia,Não confia,Confia muito,Não confia,Confia pouco,Confia muito,Não confia,pouco,pouco,muito,Não concordo,Não concordo,Não concordo,Não concordo,Concordo em parte,Concordo em parte,É grave,É grave,É grave,Não é grave,É grave,Concorda,Concorda,Concorda,Concorda,Não sei,Concorda,Concorda,Não concorda,3
