"start";"deviceid";"Entrevistador";"Região";"Olá! Estamos fazendo uma pesquisa para a USP e a Unifesp e gostaria de saber se você pode responder a algumas questões. São apenas alguns minutos e você não precisa se identificar";"Qual é a sua idade:";"Para começar, gostaria de saber, entre os partidos políticos brasileiros, com qual você se identifica?";"Em termos políticos, você se considera de esquerda, de direita, de centro ou nada disso?";"Mas entre esquerda e direita, você é mais de esquerda ou mais de direita?";"No que diz respeito a temas como família, drogas e punição a criminosos, você se considera conservador?";"Você se considera feminista?";"Você se considera antipetista?";"Agora, vou ler uma série de afirmações e gostaria de saber se você concorda ou não concorda com elas:";"Os direitos humanos atrapalham o combate ao crime";"Os valores religiosos deveriam orientar as leis";"Deveria ser permitido aos adultos fumar maconha";"A polícia é mais violenta com os negros do que com os brancos";"Fazer aborto deve ser um direito da mulher";"A união de pessoas do mesmo sexo não constitui uma família";"A escola deveria ensinar a respeitar os gays";"Cotas são uma boa medida para fazer com que os negros entrem na universidade";"Menores de idade que cometem crimes devem ir para a cadeia";"O bolsa-família estimula as pessoas a não trabalhar";"Cantar uma mulher na rua é ofensivo";"Feminismo é machismo ao contrário";"Dois homens devem poder se beijar na rua sem serem importunados";"Não se deve condenar uma mulher que transe com muitas pessoas";"O lugar da mulher é em casa cuidando da família";"Precisamos punir os criminosos com mais tempo de cadeia";"A pena de morte deve ser aplicada para punir crimes graves";"Os conservadores são preconceituosos";"A mulher deve ter o direito de usar roupa curta sem ser incomodada";"As escolas deveriam ensinar valores religiosos";"O cidadão de bem deve ter o direito de portar arma";"Os negros ainda sofrem preconceito no Brasil";"Fazer aborto é sempre errado";"Travestis devem poder usar o banheiro feminino";"Para concluir o bloco gostaria de fazer duas perguntas:";"A cassação da chapa Dilma/Temer está sendo discutida no Tribunal Superior Eleitoral e se aprovada Michel Temer perde o mandato. Você é a favor da cassação da chapa pelo TSE?";"Se Lula for candidato você pretende votar nele nas próximas eleições?";"Para terminar, gostaria de saber um pouco mais de você";"Sexo:";"Somando a sua renda com a renda das pessoas que moram com você, quanto aproximadamente é a renda familiar na sua casa?";"Até que ano você estudou?";"Como você classifica a sua cor?";"outra:";"Religião:";"outra:";"__version__";"_id";"_uuid";"_submission_time";"_index"
"2017-03-31T16:13:01.267-03";"ac:d0:74:78:6e:22";"Ju scuder";"1";"";"24";"Nenhum";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"sim";"";"feminino";"de R$2810,00 até R$4690,00";"ensino superior completo";"branca";"";"católica";"";"vQEVL8NJxFQs3kcu22s4A4";"3163661";"5d6c16b9-deb8-4048-9547-2519b1d11b52";"2017-03-31T22:18:03";"1"
"2017-03-31T16:04:51.050-03";"ac:d0:74:78:6e:22";"Ju scudeler";"1";"";"49";"PT";"de esquerda";"";"pouco conservador";"pouco feminista";"nada antipetista";"";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"sim";"";"feminino";"de R$2810,00 até R$4690,00";"ensino superior completo";"parda";"";"católica";"";"vQEVL8NJxFQs3kcu22s4A4";"3163660";"f945e296-03b6-4784-814a-3c2ee8cc7f6b";"2017-03-31T22:18:02";"2"
"2017-03-31T18:50:48.257-03";"ac:d0:74:78:6f:7c";"Vitor";"2";"";"58";"Nenhum";"centro";"mais de squerda";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não sei";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"sim";"";"masculino";"de R$4690,00 até R$9370,00";"ensino médio completo";"preta";"";"católica";"";"vQEVL8NJxFQs3kcu22s4A4";"3163657";"fe921305-4909-4455-82d4-4e64128fc0b6";"2017-03-31T22:15:22";"3"
"2017-03-31T18:45:01.714-03";"ac:d0:74:78:6f:7c";"Vitor";"2";"";"57";"Nenhum";"nada disso";"";"muito conservador";"nada feminista";"pouco antipetista";"";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"";"sim";"não";"";"feminino";"de R$2810,00 até R$4690,00";"ensino médio completo";"branca";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163656";"707cf213-c04c-4392-a6ab-ce01be1131cb";"2017-03-31T22:15:22";"4"
"2017-03-31T18:38:10.506-03";"ac:d0:74:78:6f:7c";"Vitor";"2";"";"26";"Nenhum";"nada disso";"";"nada conservador";"muito feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"não";"";"feminino";"até R$1880,00";"ensino superior completo";"branca";"";"umbanda";"";"vQEVL8NJxFQs3kcu22s4A4";"3163655";"be5ad487-fa2b-4f34-90ae-631df372e41c";"2017-03-31T22:15:21";"5"
"2017-03-31T18:29:17.129-03";"ac:d0:74:78:6f:7c";"Vitor";"2";"";"29";"Nenhum";"de esquerda";"";"nada conservador";"pouco feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não sei";"concorda";"não concorda";"não sei";"não sei";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"sim";"";"feminino";"de R$2810,00 até R$4690,00";"ensino médio completo";"parda";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163654";"ac04893d-4428-45ae-99a6-b9719fbbf294";"2017-03-31T22:15:21";"6"
"2017-03-31T17:51:42.582-03";"ac:d0:74:78:86:4d";"Aline";"1";"";"33";"PSOL";"de esquerda";"";"nada conservador";"muito feminista";"nada antipetista";"";"concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"não sei";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"branca";"";"espírita/kerdecista";"";"vQEVL8NJxFQs3kcu22s4A4";"3163824";"af12d81e-77e3-445d-af29-09ff1424919a";"2017-03-31T22:35:17";"7"
"2017-03-31T17:56:30.064-03";"ac:d0:74:78:86:4d";"Aline";"1";"";"27";"Nenhum";"de esquerda";"";"nada conservador";"pouco feminista";"nada antipetista";"";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"";"sim";"sim";"";"masculino";"de R$2810,00 até R$4690,00";"ensino médio completo";"parda";"";"nenhuma";"";"vQEVL8NJxFQs3kcu22s4A4";"3163825";"75049f97-d570-4b07-90dc-b1710b6d4083";"2017-03-31T22:35:17";"8"
"2017-03-31T17:37:46.660-03";"ac:d0:74:78:86:4d";"Aline";"1";"";"31";"PT";"de esquerda";"";"muito conservador";"nada feminista";"nada antipetista";"";"concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"não concorda";"não concorda";"";"sim";"sim";"";"masculino";"de R$4690,00 até R$9370,00";"ensino superior completo";"parda";"";"evangélica não pentecostal";"";"vQEVL8NJxFQs3kcu22s4A4";"3163822";"7717a4a3-ddec-4e79-9d93-81f3e3ab50b1";"2017-03-31T22:35:16";"9"
"2017-03-31T17:44:02.489-03";"ac:d0:74:78:86:4d";"Aline";"1";"";"52";"Outro";"de esquerda";"";"nada conservador";"muito feminista";"pouco antipetista";"";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"não concorda";"concorda";"concorda";"não concorda";"não concorda";"concorda";"não concorda";"concorda";"";"sim";"não";"";"feminino";"de R$4690,00 até R$9370,00";"ensino superior completo";"preta";"";"umbanda";"";"vQEVL8NJxFQs3kcu22s4A4";"3163823";"55bed245-c8db-4db8-8745-dafc5855eab0";"2017-03-31T22:35:16";"10"
